epoch,linear/mean,linear/alpha,linear/zeta,knn/mean,knn/alpha,knn/zeta,knn/best_k,knn/best_metric_is_cosine,attentive/mean,attentive/alpha,attentive/zeta
1,0.75257807970047,0.6666212677955627,0.8385348320007324,0.7388331890106201,,,50.0,1,,,
3,0.5464709401130676,0.3212566077709198,0.7716853618621826,0.5730465054512024,,,50.0,1,,,
5,0.36959221959114075,0.07209853827953339,0.6670858860015869,0.3919999599456787,,,10.0,0,,,
7,0.2666877806186676,0.03504142165184021,0.4983341097831726,0.33741819858551025,,,10.0,0,,,
